# of Sims,Tickets lost in this million,Total tickets lost,rolling ticket loss average,Expected Value this million,rolling expected value
73000000,-1190435,-86855978,-1189807.917808219,-1.190435,-1.1898079178082193
74000000,-1187982,-88043960,-1189783.2432432433,-1.187982,-1.1897832432432431
75000000,-1189729,-89233689,-1189782.52,-1.189729,-1.18978252
76000000,-1189951,-90423640,-1189784.7368421052,-1.189951,-1.1897847368421053
77000000,-1192620,-91616260,-1189821.5584415584,-1.19262,-1.1898215584415583
78000000,-1192834,-92809094,-1189860.1794871795,-1.192834,-1.1898601794871795
79000000,-1192154,-94001248,-1189889.2151898735,-1.192154,-1.1898892151898735
80000000,-1190187,-95191435,-1189892.9375,-1.190187,-1.1898929375
81000000,-1189121,-96380556,-1189883.4074074074,-1.189121,-1.1898834074074074
82000000,-1189638,-97570194,-1189880.4146341463,-1.189638,-1.1898804146341464
83000000,-1188761,-98758955,-1189866.9277108433,-1.188761,-1.1898669277108433
84000000,-1187808,-99946763,-1189842.4166666667,-1.187808,-1.1898424166666666
85000000,-1189610,-101136373,-1189839.6823529413,-1.18961,-1.1898396823529411
86000000,-1194057,-102330430,-1189888.7209302327,-1.194057,-1.1898887209302325
87000000,-1190669,-103521099,-1189897.6896551724,-1.190669,-1.1898976896551725
88000000,-1188503,-104709602,-1189881.8409090908,-1.188503,-1.189881840909091
89000000,-1191578,-105901180,-1189900.8988764044,-1.191578,-1.1899008988764046
90000000,-1189999,-107091179,-1189901.9888888889,-1.189999,-1.1899019888888889
91000000,-1187331,-108278510,-1189873.7362637362,-1.187331,-1.1898737362637362
92000000,-1190558,-109469068,-1189881.1739130435,-1.190558,-1.1898811739130435
93000000,-1188758,-110657826,-1189869.0967741935,-1.188758,-1.1898690967741936
94000000,-1189306,-111847132,-1189863.1063829786,-1.189306,-1.1898631063829788
95000000,-1190036,-113037168,-1189864.9263157896,-1.190036,-1.1898649263157894
96000000,-1189602,-114226770,-1189862.1875,-1.189602,-1.1898621875
97000000,-1190218,-115416988,-1189865.855670103,-1.190218,-1.1898658556701032
98000000,-1192000,-116608988,-1189887.6326530613,-1.192,-1.1898876326530612
99000000,-1192279,-117801267,-1189911.7878787878,-1.192279,-1.189911787878788
100000000,-1193385,-118994652,-1189946.52,-1.193385,-1.18994652
101000000,-1188833,-120183485,-1189935.495049505,-1.188833,-1.189935495049505
102000000,-1187660,-121371145,-1189913.1862745099,-1.18766,-1.1899131862745098
103000000,-1190272,-122561417,-1189916.6699029126,-1.190272,-1.1899166699029127
104000000,-1192105,-123753522,-1189937.7115384615,-1.192105,-1.1899377115384615
105000000,-1189004,-124942526,-1189928.8190476191,-1.189004,-1.1899288190476192
106000000,-1191050,-126133576,-1189939.3962264152,-1.19105,-1.189939396226415
107000000,-1190020,-127323596,-1189940.1495327102,-1.19002,-1.1899401495327102
108000000,-1189280,-128512876,-1189934.037037037,-1.18928,-1.189934037037037
109000000,-1191462,-129704338,-1189948.0550458715,-1.191462,-1.1899480550458716
110000000,-1187915,-130892253,-1189929.5727272728,-1.187915,-1.1899295727272727
111000000,-1188242,-132080495,-1189914.3693693695,-1.188242,-1.1899143693693695
112000000,-1191812,-133272307,-1189931.3125,-1.191812,-1.1899313125
113000000,-1193280,-134465587,-1189960.9469026548,-1.19328,-1.1899609469026549
114000000,-1191197,-135656784,-1189971.7894736843,-1.191197,-1.1899717894736843
115000000,-1188527,-136845311,-1189959.2260869564,-1.188527,-1.1899592260869565
116000000,-1191843,-138037154,-1189975.4655172413,-1.191843,-1.1899754655172414
117000000,-1188659,-139225813,-1189964.2136752137,-1.188659,-1.1899642136752138
118000000,-1188891,-140414704,-1189955.1186440678,-1.188891,-1.1899551186440678
119000000,-1189173,-141603877,-1189948.5462184874,-1.189173,-1.1899485462184873
120000000,-1189488,-142793365,-1189944.7083333333,-1.189488,-1.1899447083333334
121000000,-1189603,-143982968,-1189941.8842975206,-1.189603,-1.1899418842975207
122000000,-1193225,-145176193,-1189968.7950819673,-1.193225,-1.1899687950819673
123000000,-1190405,-146366598,-1189972.3414634147,-1.190405,-1.1899723414634147
124000000,-1191551,-147558149,-1189985.072580645,-1.191551,-1.1899850725806451
125000000,-1189119,-148747268,-1189978.144,-1.189119,-1.189978144
126000000,-1190517,-149937785,-1189982.4206349207,-1.190517,-1.1899824206349205
127000000,-1189742,-151127527,-1189980.527559055,-1.189742,-1.1899805275590551
128000000,-1192156,-152319683,-1189997.5234375,-1.192156,-1.1899975234375
129000000,-1189059,-153508742,-1189990.2480620155,-1.189059,-1.1899902480620155
130000000,-1190163,-154698905,-1189991.576923077,-1.190163,-1.1899915769230769
131000000,-1186149,-155885054,-1189962.2442748093,-1.186149,-1.1899622442748092
132000000,-1189681,-157074735,-1189960.1136363635,-1.189681,-1.1899601136363636
133000000,-1187747,-158262482,-1189943.4736842106,-1.187747,-1.1899434736842105
134000000,-1189158,-159451640,-1189937.6119402985,-1.189158,-1.1899376119402985
135000000,-1192748,-160644388,-1189958.4296296297,-1.192748,-1.1899584296296297
136000000,-1190845,-161835233,-1189964.9485294118,-1.190845,-1.1899649485294117
137000000,-1189125,-163024358,-1189958.8175182482,-1.189125,-1.1899588175182483
138000000,-1187728,-164212086,-1189942.652173913,-1.187728,-1.1899426521739132
139000000,-1189920,-165402006,-1189942.489208633,-1.18992,-1.189942489208633
140000000,-1189783,-166591789,-1189941.35,-1.189783,-1.18994135
141000000,-1189890,-167781679,-1189940.9858156028,-1.18989,-1.189940985815603
142000000,-1188971,-168970650,-1189934.1549295774,-1.188971,-1.1899341549295774
143000000,-1192042,-170162692,-1189948.895104895,-1.192042,-1.189948895104895
144000000,-1191867,-171354559,-1189962.2152777778,-1.191867,-1.1899622152777778
145000000,-1190565,-172545124,-1189966.372413793,-1.190565,-1.189966372413793
146000000,-1189719,-173734843,-1189964.6780821919,-1.189719,-1.1899646780821918
147000000,-1189814,-174924657,-1189963.6530612244,-1.189814,-1.1899636530612245
148000000,-1190515,-176115172,-1189967.3783783785,-1.190515,-1.1899673783783784
149000000,-1190397,-177305569,-1189970.2617449665,-1.190397,-1.1899702617449663
150000000,-1193371,-178498940,-1189992.9333333333,-1.193371,-1.1899929333333332
151000000,-1186755,-179685695,-1189971.4900662252,-1.186755,-1.1899714900662253
152000000,-1190139,-180875834,-1189972.5921052631,-1.190139,-1.189972592105263
153000000,-1188687,-182064521,-1189964.1895424838,-1.188687,-1.1899641895424837
154000000,-1189165,-183253686,-1189959.0,-1.189165,-1.189959
155000000,-1190430,-184444116,-1189962.0387096775,-1.19043,-1.1899620387096774
156000000,-1191677,-185635793,-1189973.032051282,-1.191677,-1.189973032051282
157000000,-1190559,-186826352,-1189976.7643312102,-1.190559,-1.1899767643312102
158000000,-1190333,-188016685,-1189979.0189873418,-1.190333,-1.1899790189873418
159000000,-1189806,-189206491,-1189977.9308176101,-1.189806,-1.1899779308176102
